algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.133000,9637,8
MergeSort,random,10000,2.437400,127178,11
MergeSort,random,100000,7.815200,1638836,14
MergeSort,random,1000000,91.087300,19883397,18
MergeSort,sorted,1000,0.014100,4236,8
MergeSort,sorted,10000,0.148000,59248,11
MergeSort,sorted,100000,1.815900,744016,14
MergeSort,sorted,1000000,22.749400,9071040,18
MergeSort,duplicates,1000,0.019500,9180,8
MergeSort,duplicates,10000,0.332500,122038,11
MergeSort,duplicates,100000,3.927600,1563550,14
MergeSort,duplicates,1000000,43.691500,18927446,18
QuickSort,random,1000,0.150300,19059,6
QuickSort,random,10000,0.725500,247345,9
QuickSort,random,100000,8.753900,3280494,10
QuickSort,random,1000000,100.457400,37824915,13
QuickSort,sorted,1000,0.034200,17720,6
QuickSort,sorted,10000,0.378500,261511,8
QuickSort,sorted,100000,4.220000,3094115,11
QuickSort,sorted,1000000,47.222900,39405045,13
QuickSort,duplicates,1000,0.013000,6473,2
QuickSort,duplicates,10000,0.122100,49993,2
QuickSort,duplicates,100000,1.200100,558847,3
QuickSort,duplicates,1000000,12.270800,8004290,2
QuickSelect,random,1000,0.010700,3771,9
QuickSelect,random,10000,0.101300,41430,14
QuickSelect,random,100000,1.115500,451365,19
QuickSelect,random,1000000,11.341100,8062301,23
QuickSelect,sorted,1000,0.003900,5899,14
QuickSelect,sorted,10000,0.026400,50493,23
QuickSelect,sorted,100000,0.272500,480868,15
QuickSelect,sorted,1000000,2.635600,3985266,28
QuickSelect,duplicates,1000,0.010400,3700,5
QuickSelect,duplicates,10000,0.093100,37970,4
QuickSelect,duplicates,100000,0.678600,349427,4
QuickSelect,duplicates,1000000,8.324100,3602520,4
